CCAA;Ciudad;Universidad;Grupo;URL grupo;Nombre y Apellidos;Posición;Afiliación;Genero;Año de la primera publicación;Documentos por autor (1er tema al que más ha contribuido) en Scopus;1er tema al que el autor ha contribuido más en Scopus entre 2017–2021;Impacto de las citas ponderado por 1er tema;Documentos por autor (2do tema al que más ha contribuido) en Scopus;2do tema al que el autor ha contribuido más en Scopus entre 2017–2021;Impacto de las citas ponderado por 2do tema;ScopusID;ScopusID URL;WOS ResearcherID;Orcid;GoogleScholar;Balz;Citaciones GS;h-index GS;i10-index GS;Citaciones desde 2018 GS;h-index desde 2018 GS;i10-index desde 2018;Citaciones Scopus;Documentos citados Scopus;h-index Scopus;Numero de documentos Scopus;co-autores Scopus;Scopus tot citations / tot coauthors;Mean H-index Scopus-Google;Mean citations Scopus-Google
Andalucía;Granada;Universidad de Granada;Ingeniería de Red y Seguridad (NESG-TIC233);https://nesg.ugr.es/index.php/en/;Pedro García Teodoro;Catedrático;;;1994;5;"Android; Permission; Drebrins";1,46;3;"Anomaly Detection; Network Traffic; Attack";1,29;6507688555;https://www.scopus.com/authid/detail.uri?authorId=6507688555;DUK-3169-2022;https://orcid.org/0000-0001-6766-1936;https://scholar.google.es/citations?user=eN5nfQYAAAAJ&hl=es;;4144;23;37;2063;16;25;2266;2050;17;72;88;26;20;3205
Andalucía;Granada;Universidad de Granada;Ingeniería de Red y Seguridad (NESG-TIC233);https://nesg.ugr.es/index.php/en/;Gabriel Maciá Fernández;Catedrático;;;2006;6;"Anomaly Detection; Network Traffic; Attack";1,29;3;"Android; Permission; Drebrins";1,46;14035886700;https://www.scopus.com/authid/detail.uri?authorId=14035886700;C-6858-2012;https://orcid.org/0000-0001-9256-453X;https://scholar.google.es/citations?user=IhNRfoAAAAAJ&hl=es;;3608;21;33;1990;15;23;2053;1872;16;59;47;44;18,5;2830,5
Andalucía;Granada;Universidad de Granada;Ingeniería de Red y Seguridad (NESG-TIC233);https://nesg.ugr.es/index.php/en/;Roberto Magán-Carrión;Profesor Ayudante;;;2013;3;"Intrusion Detection System; Network Security; Denial-Of-Service Attack        ";2,19;2;"Vertex Of A Graph; Wireless Sensor Networks; Relay";0,78;55916918800;https://www.scopus.com/authid/detail.uri?authorId=55916918800;T-4700-2017;https://orcid.org/0000-0002-7744-7308;https://scholar.google.es/citations?user=xJdPMqgAAAAJ&hl=es;;537;10;10;458;9;9;331;296;9;25;25;13;9,5;434
Andalucía;Granada;Universidad de Granada;Ingeniería de Red y Seguridad (NESG-TIC233);https://nesg.ugr.es/index.php/en/;Margarita Robles Carrillo;Catedrático;;1;2015;1;"Android; Permission; Drebrins";1,46;1;"Russia; Europeanization; Enlargement Policy";1,07;57203316304;https://www.scopus.com/authid/detail.uri?authorId=57203316304;DYH-9112-2022;https://orcid.org/0000-0002-6324-4665;https://scholar.google.es/citations?user=PSUjIYgAAAAJ&hl=es;;330;9;9;179;6;4;24;24;2;7;5;5;5,5;177
Andalucía;Granada;Universidad de Granada;Ingeniería de Red y Seguridad (NESG-TIC233);https://nesg.ugr.es/index.php/en/;José Antonio Goméz Hernández;Titular;;;2003;3;"Android; Permission; Drebrins";1,46;1;"Rumor; Social Media; Disinformation";2,87;24343585700;https://www.scopus.com/authid/detail.uri?authorId=24343585700;D-9990-2012;https://orcid.org/0000-0002-8235-7366;https://scholar.google.es/citations?user=yYoa7SMAAAAJ&hl=es;;119;3;1;114;3;1;191;183;8;30;45;4;5,5;155
Andalucía;Granada;Universidad de Granada;Smart Wireless Applications and Technologies Group (SWAT-TIC244);https://swat.ugr.es/;José Camacho Páez;Catedrático;;;2005;6;"Anomaly Detection; Network Traffic; Attack";1,29;4;"Batch Process; Fault Detection; Canonical Variate Analysis";1,08;35363432300;https://www.scopus.com/authid/detail.uri?authorId=35363432300;D-9969-2012;https://orcid.org/0000-0001-9804-8122;https://scholar.google.es/citations?user=wYlNmQ8AAAAJ&hl=es;;2137;27;46;1291;21;39;1469;1048;23;76;108;14;25;1803
Andalucía;Granada;Fidesol;;;Marta Fuentes García;Cybersecurity Coordinator;Doctorado por la UGR;1;2015;2;"Anomaly Detection; Network Traffic; Attack";1,29;2;"Batch Process; Fault Detection; Canonical Variate Analysis        ";1,08;57222576037;https://www.scopus.com/authid/detail.uri?authorId=57222576037;AAQ-5697-2021;https://orcid.org/0000-0002-7428-1277;https://scholar.google.es/citations?user=UvGkaKEAAAAJ&hl=es;;136;6;4;133;6;4;73;66;4;8;12;6;5;104,5
Andalucía;Granada;Universidad de Granada;;;Plantilla:;6;Mujeres:;2;;;"Android; Permission; Drebrins; Anomaly Detection; Network Traffic; Attack; Intrusion Detection System; Network Security; Denial-Of-Service Attack; Android; Permission; Drebrins; Android; Permission; Drebrins; Anomaly Detection; Network Traffic; Attack; Anomaly Detection; Network Traffic; Attack";1,49;;"Anomaly Detection; Network Traffic; Attack; Android; Permission; Drebrins; Vertex Of A Graph; Wireless Sensor Networks; Relay; Russia; Europeanization; Enlargement Policy; Rumor; Social Media; Disinformation; Batch Process; Fault Detection; Canonical Variate Analysis; Batch Process; Fault Detection; Canonical Variate Analysis        ";1,38;;;;;;;;;;;;;915;;11;40;;16;13;1244
Andalucía;Málaga;Universidad de Málaga;Networks, Information and Computer Security Lab - NICS;https://www.nics.uma.es/jlm;Javier López Muñoz;Catedrático;;;1998;9;"Attack; Supervisory Control; Intrusion Detection";1,22;7;"Advanced Metering Infrastructures; Internet Of Things; Privacy Preserving";1,27;26643374800;https://www.scopus.com/authid/detail.uri?authorId=26643374800;FXQ-7951-2022;https://orcid.org/0000-0001-8066-9991;https://scholar.google.com/citations?hl=en&user=TWqw688AAAAJ&view_op=list_works&sortby=pubdate;;11929;46;171;6310;32;93;6594;5641;33;316;231;29;39,5;9261,5
Andalucía;Málaga;Universidad de Málaga;Networks, Information and Computer Security Lab - NICS;https://www.nics.uma.es/jlm;Isaac Agudo;Titular;;;2005;3;"Random Oracle Model; Encryption; Computer Security";0,84;1;"Computer Security; CAN Bus; Electronic Control";1,31;8881544100;https://www.scopus.com/authid/detail.uri?authorId=8881544100;L-1785-2014;https://orcid.org/0000-0002-2911-2300;https://scholar.google.com/citations?hl=en&user=JGd3lHkAAAAJ;;1109;15;18;446;10;10;578;527;12;49;55;11;13,5;843,5
