CustomerID,NombreCliente,Edad,Genero,Ciudad,FrecuenciaCompra,MontoTotalCompras,FechaUltimaCompra,TipoProducto,IDProducto,PrecioProducto,CantidadComprada,DescuentoAplicado,ValoracionCliente,FechaCompra,MetodoPago,TiempoRespuesta,TotalItems,PromocionActiva,TotalCompraConDescuento,RecomendacionCliente,Reclamos
CUST1000,Cliente_0,52,Male,Valparaíso,12,3687.86,2019-08-05,Accesorios,PROD1000,57.96,3,22,1,2021-05-08 00:00:00,tarj,58,4,No,4583.69,Sí,1
CUST1001,Cliente_1,40,M,Santiago,18,8854.58,2019-04-16,Tecnología,PROD1001,204.54,3,13,2,2023-06-14 00:00:00,Crédito,1,6,No,222.62,No,2
CUST1002,Cliente_2,29,Female,Valparaíso,21,3373.82,2018-10-20,Accesorios,PROD1002,324.09,3,27,4,2023-08-17 00:00:00,Crédito,8,2,No,3707.02,No,0
CUST1003,Cliente_3,69,F.,Antofagasta,29,6726.53,2023-07-02,Tecnología,PROD1003,116.97,2,21,4,2019-05-12 00:00:00,Efectivo,56,2,No,4851.77,No,3
CUST1004,Cliente_4,41,M.,Concepción,4,4751.44,2023-08-27,Herramientas,PROD1004,74.77,1,0,3,2024-07-10 00:00:00,Tarjeta,39,9,Sí,2516.41,Sí,2
CUST1005,Cliente_5,67,M,Santiago,20,9422.54,2020-02-07,Electrodomésticos,PROD1005,322.76,2,11,4,2018-07-10 00:00:00,Efectivo,37,5,No,3992.2,No,3
CUST1006,Cliente_6,57,F,Valparaíso,12,1677.7,2023-10-31,Tecnología,PROD1006,415.11,2,14,2,2024-10-29 00:00:00,Efectivo,12,8,Sí,2884.83,No,4
CUST1007,Cliente_7,26,M,Santiago,20,4343.7,2022-12-27,Muebles,PROD1007,85.61,1,20,3,2019-10-03 00:00:00,Efectivo,49,4,Unknown,3282.77,Sí,0
CUST1008,Cliente_8,30,M,Santiago,13,1333.87,2019-03-02,Tecnología,PROD1008,453.08,1,26,2,2023-08-29 00:00:00,Efectivo,46,3,No,1945.78,Sí,3
CUST1009,Cliente_9,57,M,Concepción,4,5823.58,2023-07-25,Muebles,PROD1009,371.14,1,23,3,2020-03-01 00:00:00,Tarjeta,51,3,Unknown,758.03,No,2
CUST1010,Cliente_10,59,M.,Antofagasta,14,4088.7,2019-06-15,Electrodomésticos,PROD1010,342.24,3,10,4,2018-10-23 00:00:00,Tarjeta,54,8,Unknown,823.35,No,3
CUST1011,Cliente_11,34,F,nan,21,703.28,2024-01-28,Electrodomésticos,PROD1011,69.27,3,29,5,2020-11-07 00:00:00,EFT,20,9,Unknown,4753.56,No,1
CUST1012,Cliente_12,24,Female,Antofagasta,18,8513.4,2020-01-27,Herramientas,PROD1012,465.57,1,-1,1,2018-04-26 00:00:00,EFT,41,4,No,2266.05,Sí,3
CUST1013,Cliente_13,34,M,La Serena,6,3817.6,2021-05-14,Herramientas,PROD1013,242.0,3,22,3,N/A,EFT,38,6,Sí,2493.48,No,0
CUST1014,Cliente_14,67,M.,Antofagasta,1,4986.94,2023-03-25,Electrodomésticos,PROD1014,272.45,3,3,5,2019-02-27 00:00:00,Efectivo,53,2,No,3501.8,No,3
CUST1015,Cliente_15,41,M.,Valparaíso,10,4134.38,2019-10-20,Tecnología,PROD1015,261.19,2,7,5,2020-12-31 00:00:00,Crédito,9,9,Sí,4921.43,No,0
CUST1016,Cliente_16,19,Female,La Serena,18,4937.66,2022-10-12,Tecnología,PROD1016,270.22,1,-1,4,2021-08-24 00:00:00,Efectivo,18,7,No,74.14,No,1
CUST1017,Cliente_17,52,Male,La Serena,19,261.62,2024-08-22,Herramientas,PROD1017,413.21,1,5,2,2023-10-04 00:00:00,Tarjeta,28,7,Sí,4764.44,Sí,0
CUST1018,Cliente_18,45,F,La Serena,2,8173.05,2022-10-26,Tecnología,PROD1018,58.42,3,10,3,2021-11-04 00:00:00,Crédito,42,9,No,329.38,No,0
CUST1019,Cliente_19,36,F,La Serena,15,3389.85,2024-08-23,Tecnología,PROD1019,247.06,4,19,1,2018-02-19 00:00:00,Efectivo,41,3,Unknown,1764.25,Sí,0
CUST1020,Cliente_20,50,F.,Antofagasta,3,7272.17,2020-05-26,Tecnología,PROD1020,310.82,3,24,5,2021-04-20 00:00:00,Crédito,-1,8,Sí,1633.07,Sí,3
